# column 1: total pressure [Pa]
# column 2: pure component isotherm value
# column 3: mixture component isotherm value
# column 4: gas-phase mol-fraction y_i
# column 5: adsorbed phase mol-fraction x_i
# column 6: hypothetical pressure p_i^*
# column 7: reduced grand potential psi_i
100 0.02495783814728 0.005610599967595 0.2 0.11914001892605 0.04125877826733
109.74987654931 0.027470366002584 0.0061941931940833 0.2 0.1179432043559 0.045887739295297
120.45035402588 0.030234523349848 0.0068370143397714 0.2 0.11672200874385 0.05105030677012
132.1941148466 0.033275194334486 0.0075448359599537 0.2 0.11547878275958 0.056808480499469
145.08287784959 0.036619654288666 0.0083239444173742 0.2 0.11421580647112 0.063231370343159
159.22827933411 0.040297784565253 0.0091811744271657 0.2 0.11293528929445 0.07039597153427
174.75284000077 0.044342303460618 0.010123943161633 0.2 0.11163937050147 0.078388013055538
191.79102616725 0.048789013713995 0.011160283055057 0.2 0.11033012024008 0.08730288284805
210.4904144512 0.053677066900508 0.012298872214941 0.2 0.109009541022 0.097246632914317
231.01297000832 0.059049244807979 0.013549061070449 0.2 0.10767956963526 0.10833706633176
253.53644939701 0.06495225759246 0.014920893567984 0.2 0.10634207943989 0.12070490673503
278.25594022071 0.071437058130845 0.01642512085629 0.2 0.10499888300572 0.13449504886367
305.38555088334 0.078559171515623 0.018073204989839 0.2 0.10365173505164 0.14986788620148
335.16026509388 0.086379038050034 0.019877309723952 0.2 0.10230233564502 0.16700070844224
367.83797718286 0.094962367382698 0.021850274987804 0.2 0.1009523336185 0.18608915738298
403.70172585966 0.10438050054926 0.024005571118795 0.2 0.099603330159263 0.20734872475279
443.06214575839 0.11471077564321 0.026357228450055 0.2 0.098256882522271 0.23101626932278
486.26015800654 0.1260368915974 0.028919737400074 0.2 0.096914507814714 0.25735152332671
533.66992312063 0.13844926310074 0.031707913872292 0.2 0.095577686792926 0.28663854971152
585.70208180567 0.15204535798211 0.034736724602357 0.2 0.094247867606353 0.31918710205941
642.80731172843 0.1669300064514 0.038021067179247 0.2 0.092926469415049 0.35533382830735
705.48023107186 0.18321566938726 0.041575499919308 0.2 0.0916148857982 0.39544324790104
774.26368268113 0.20102265040573 0.045413917710334 0.2 0.090314487861606 0.43990842020495
849.75343590864 0.22047923374999 0.049549171495489 0.2 0.089026626942182 0.48915121051563
932.60334688322 0.24172172714713 0.053992631359822 0.2 0.087752636798233 0.54362204981954
1023.531021899 0.26489438574617 0.058753696318779 0.2 0.086493835166227 0.60379907670945
1123.324032978 0.2901491901801 0.06383925794398 0.2 0.085251524559262 0.67018654611363
1232.8467394421 0.31764544882316 0.069253129871648 0.2 0.084026992180638 0.74331239142643
1353.0477745798 0.34754919162964 0.074995460881441 0.2 0.082821508829529 0.82372483611648
